Realm --> Gender --> Race --> Name,Studio Email Address
Middle Earth,
Middle Earth --> ?,
Middle Earth --> ? --> Elf,
Middle Earth --> ? --> Elf --> Elemmírë,"elemmire.conqueror_3481@cxstudio.app,elemmire.fearless_2290@cxstudio.app,elemmire.tenacious_2638@cxstudio.app,elemmire.the.just_4538@cxstudio.app,elemmire.the.sovereign_2108@cxstudio.app"
Middle Earth --> ? --> horse,
Middle Earth --> ? --> horse --> Arroch,"arroch.audacious_4797@cxstudio.app,arroch.heroic_1997@cxstudio.app,arroch.serene.whisper_1400@cxstudio.app,arroch.the.wise_2047@cxstudio.app,arroch.transcendent_2436@cxstudio.app,arroch.whispering.brook_3369@cxstudio.app"
Middle Earth --> ? --> horse --> Asfaloth,"asfaloth.benevolent_4186@cxstudio.app,asfaloth.cruel_3960@cxstudio.app,asfaloth.defiant_4938@cxstudio.app,asfaloth.feathered.dreamer_1192@cxstudio.app,asfaloth.gentle.rain_3705@cxstudio.app,asfaloth.golden.horizon_3091@cxstudio.app,asfaloth.steadfast_4687@cxstudio.app,asfaloth.tenacious_2666@cxstudio.app,asfaloth.victorious_4382@cxstudio.app"
Middle Earth --> f,
Middle Earth --> f --> Dwarf,
Middle Earth --> f --> Dwarf --> Dís,"dis.feathered.song_3172@cxstudio.app,dis.mountain.dream_238@cxstudio.app,dis.red.wolf_945@cxstudio.app,dis.smiling.fox_408@cxstudio.app,dis.the.pious_3454@cxstudio.app,dis.wise_3086@cxstudio.app"
Middle Earth --> f --> Elf,
Middle Earth --> f --> Elf --> Amarië,"amarie.autumn.sky_2771@cxstudio.app,amarie.empowered_990@cxstudio.app,amarie.legendary_4330@cxstudio.app,amarie.noble_1444@cxstudio.app,amarie.precious_1077@cxstudio.app,amarie.swift.river_709@cxstudio.app,amarie.virtuous_537@cxstudio.app"
Middle Earth --> f --> Elf --> Anairë,"anaire.adroit_1847@cxstudio.app,anaire.gracious_2738@cxstudio.app,anaire.great_4870@cxstudio.app,anaire.sagacious_3982@cxstudio.app,anaire.serene.lake_899@cxstudio.app,anaire.terrible_1952@cxstudio.app"
Middle Earth --> f --> Elf --> Aredhel,"aredhel.passionate_817@cxstudio.app,aredhel.resilient_2556@cxstudio.app,aredhel.the.conqueror_2596@cxstudio.app,aredhel.the.sovereign_1953@cxstudio.app"
Middle Earth --> f --> Elf --> Celebrían,"celebrian.autumn.leaves_419@cxstudio.app,celebrian.laughing.songbird_3689@cxstudio.app,celebrian.singing.thunder_3711@cxstudio.app,celebrian.wandering.spirit_2987@cxstudio.app"
Middle Earth --> f --> Elf --> Eldalótë,"eldalote.morning.star_22@cxstudio.app,eldalote.shining.star_2439@cxstudio.app,eldalote.singing.thunder_53@cxstudio.app"
Middle Earth --> f --> Elf --> Elenwë,"elenwe.laughing.sun_4452@cxstudio.app,elenwe.little.bear_3842@cxstudio.app,elenwe.passionate_641@cxstudio.app,elenwe.singing.thunder_1719@cxstudio.app,elenwe.strong_264@cxstudio.app,elenwe.sunlit.canyon_3706@cxstudio.app,elenwe.the.brave_3455@cxstudio.app,elenwe.the.fair_2900@cxstudio.app,elenwe.the.formidable_1273@cxstudio.app"
Middle Earth --> f --> Elf --> Eärwen,"earwen.empowered_3321@cxstudio.app,earwen.little.otter_283@cxstudio.app,earwen.pious_683@cxstudio.app,earwen.serene.whisper_1573@cxstudio.app,earwen.swift.feather_670@cxstudio.app,earwen.the.indomitable_35@cxstudio.app"
Middle Earth --> f --> Elf --> Findis,"findis.autumn.leaves_2673@cxstudio.app,findis.feathered.song_4940@cxstudio.app,findis.little.falcon_3718@cxstudio.app,findis.precious_1536@cxstudio.app,findis.the.audacious_27@cxstudio.app,findis.the.dauntless_643@cxstudio.app"
Middle Earth --> f --> Elf --> Finduilas,"finduilas.brave.eagle_4286@cxstudio.app,finduilas.conscientious_1249@cxstudio.app,finduilas.defiant_3190@cxstudio.app,finduilas.gentle.breeze_4513@cxstudio.app,finduilas.little.bear_3202@cxstudio.app,finduilas.strong_1093@cxstudio.app"
Middle Earth --> f --> Elf --> Galadriel,"galadriel.benevolent_3933@cxstudio.app,galadriel.defiant_3535@cxstudio.app,galadriel.feathered.song_40@cxstudio.app,galadriel.lionheart_2729@cxstudio.app,galadriel.the.heroic_2697@cxstudio.app"
Middle Earth --> f --> Elf --> Idril,"idril.blue.sky_1607@cxstudio.app,idril.bold_1592@cxstudio.app,idril.gentle_2408@cxstudio.app,idril.graceful.doe_94@cxstudio.app,idril.morning.mist_769@cxstudio.app,idril.wise_2486@cxstudio.app"
